RA,Dec,Vmag,Bmag,B-V
89.810133,28.806191,17.6485,18.4534,0.8049
89.304644,28.803487,15.938,16.687,0.749
89.779451,28.805576,17.6087,18.3503,0.7416
89.63618,28.8049,16.882,17.7007,0.8187
89.527398,28.80427,15.4771,16.3741,0.897
89.81228,28.805343,17.5007,18.0487,0.548
89.658024,28.803672,13.2186,14.02,0.8014
89.610099,28.803796,13.8521,14.5767,0.7246
89.658009,28.803674,13.2193,14.02,0.8007
89.443335,28.802315,12.2253,12.6047,0.3794
89.38079,28.802185,13.3471,13.6966,0.3495
89.471445,28.803281,15.9028,16.808,0.9052
89.443327,28.802313,12.2253,12.6047,0.3794
89.430261,28.803253,17.0556,17.6945,0.6389
89.53722,28.802744,16.6623,17.5377,0.8754
89.537245,28.802743,16.6633,17.5377,0.8744
89.653497,28.803678,17.7139,18.6167,0.9028
89.797571,28.803562,16.8986,17.6915,0.7929
89.400711,28.802106,16.4916,17.3717,0.8801
89.293752,28.801664,17.5459,18.3184,0.7725
89.643706,28.802887,16.3246,17.1598,0.8352
89.272686,28.800586,16.501,17.8675,1.3665
89.447007,28.801243,15.8024,16.5397,0.7373
89.561155,28.801486,16.9274,17.747,0.8196
89.561154,28.801485,16.9275,17.747,0.8195
89.300272,28.799162,12.2017,12.5439,0.3422
89.571335,28.801024,16.5376,17.3119,0.7743
89.454434,28.800036,14.956,15.4568,0.5008
89.71058,28.801434,17.8066,18.3966,0.59
89.573515,28.799947,15.7228,16.2425,0.5197
89.537933,28.800191,17.4815,18.2426,0.7611
89.490203,28.800229,17.5853,18.3177,0.7324
89.434787,28.799246,15.1519,16.4915,1.3396
89.783613,28.801062,17.739,18.8691,1.1301
89.786181,28.800434,16.0958,16.8435,0.7477
89.568651,28.799749,17.4591,18.1025,0.6434
89.540074,28.799686,17.3209,18.1371,0.8162
89.461793,28.798832,16.1849,17.1306,0.9457
89.815805,28.800069,16.2521,16.7595,0.5074
89.774674,28.799866,17.1253,17.8964,0.7711
89.559542,28.799249,17.6478,18.8816,1.2338
89.356503,28.798158,17.3025,18.2259,0.9234
89.298468,28.797163,15.53,16.1367,0.6067
89.813779,28.79857,14.928,16.2875,1.3595
89.620652,28.79895,17.2364,18.1502,0.9138
89.444014,28.797819,16.4905,17.3139,0.8234
89.817788,28.796904,16.4931,17.2133,0.7202
89.771855,28.796626,17.7101,18.3758,0.6657
89.602593,28.796164,17.0678,17.9143,0.8465
89.539411,28.795396,15.7383,16.4589,0.7206
89.542846,28.794786,16.0956,17.2197,1.1241
89.347449,28.793348,13.9151,14.4213,0.5062
89.266336,28.793477,17.3741,18.3488,0.9747
89.750283,28.795262,16.3755,17.1971,0.8216
89.539419,28.795394,15.7386,16.4589,0.7203
89.433351,28.794446,17.1912,17.9929,0.8017
89.526975,28.794528,17.3002,18.2016,0.9014
89.756899,28.794655,15.0244,16.1637,1.1393
89.258491,28.793105,17.4957,18.3476,0.8519
89.680621,28.794354,17.6054,18.4468,0.8414
89.593051,28.793857,17.0293,17.9505,0.9212
89.322221,28.792346,16.5843,17.6087,1.0244
89.439255,28.792214,16.8481,18.2491,1.401
89.273966,28.790434,16.7841,17.6264,0.8423
89.473955,28.792125,16.7429,17.4656,0.7227
89.73116,28.79206,14.6887,15.1698,0.4811
89.791049,28.792808,17.5645,18.4856,0.9211
89.749945,28.79273,17.3331,18.2596,0.9265
89.477039,28.791723,17.132,17.9343,0.8023
89.359105,28.790745,14.7607,15.1971,0.4364
89.273987,28.790439,16.7874,17.6264,0.839
89.688169,28.792283,17.693,18.6697,0.9767
89.392067,28.790581,17.2876,17.9166,0.629
89.580568,28.79106,17.2377,18.1075,0.8698
89.259771,28.789281,16.5669,17.7326,1.1657
89.795718,28.791356,16.2966,16.9199,0.6233
89.669345,28.791247,17.5232,18.3578,0.8346
89.444642,28.790013,15.3076,16.4929,1.1853
89.799522,28.790995,15.7757,16.6996,0.9239
89.741262,28.7909,16.8265,17.4446,0.6181
89.685459,28.790685,16.6683,17.5444,0.8761
89.66602,28.790355,15.3041,16.0297,0.7256
89.665988,28.790353,15.3041,16.0297,0.7256
89.363831,28.788729,14.8269,15.569,0.7421
89.743147,28.789797,14.8487,15.5799,0.7312
89.712255,28.789856,15.8003,16.4951,0.6948
89.69382,28.789887,15.4984,16.7563,1.2579
89.678671,28.78978,15.8327,16.5461,0.7134
89.69952,28.789793,16.1091,17.0564,0.9473
89.618916,28.789669,17.208,18.0529,0.8449
89.305722,28.788026,17.5706,18.4622,0.8916
89.241836,28.787191,15.0896,15.8406,0.751
89.77105,28.78922,15.7202,16.4948,0.7746
89.606835,28.788826,16.223,16.9571,0.7341
89.819299,28.789445,17.2831,18.0601,0.777
89.638918,28.788474,15.4618,16.0469,0.5851
89.370376,28.787472,16.1138,16.8144,0.7006
89.746724,28.788973,16.3754,17.3499,0.9745
89.672489,28.788088,15.1983,15.9091,0.7108
89.487116,28.787554,17.5219,18.2192,0.6973
89.52788,28.787358,16.8045,17.5561,0.7516
89.43917,28.786504,16.3142,17.0107,0.6965
89.761709,28.787742,17.511,18.4298,0.9188
89.268157,28.785498,17.4076,18.3999,0.9923
89.73803,28.787169,16.6482,17.3087,0.6605
89.38696,28.785514,15.2111,16.016,0.8049
89.649478,28.785779,13.4342,14.0153,0.5811
89.363679,28.785118,15.2264,15.8482,0.6218
89.673252,28.785608,16.5826,17.4723,0.8897
89.784554,28.785654,16.2198,17.0288,0.809
89.400565,28.782705,14.0312,15.1523,1.1211
89.346353,28.782768,16.1371,16.9753,0.8382
89.707235,28.783362,15.5714,16.4197,0.8483
89.243685,28.782028,17.4058,18.2559,0.8501
89.707241,28.783362,15.5714,16.4197,0.8483
89.559331,28.78259,15.5627,16.2599,0.6972
89.75775,28.783242,15.9899,16.5075,0.5176
89.637696,28.78168,13.1147,14.0926,0.9779
89.491331,28.782016,16.0838,16.8238,0.74
89.365653,28.781308,15.7433,16.4282,0.6849
89.613448,28.780041,15.3503,16.0644,0.7141
89.292682,28.779784,17.2827,18.2066,0.9239
89.464799,28.7803,17.0624,17.7178,0.6554
89.613454,28.780041,15.3503,16.0644,0.7141
89.347426,28.779409,17.0973,17.9188,0.8215
