RA,Dec,Vmag,Bmag,B-V
92.510982,24.490664,17.2248,18.2552,1.0304
92.247701,24.489676,17.1547,18.1364,0.9817
92.010862,24.488458,17.0512,18.0547,1.0035
92.502081,24.490056,16.1874,17.1945,1.0071
92.419243,24.49005,16.8533,17.7936,0.9403
92.350549,24.492091,11.9277,12.3313,0.4036
92.133066,24.486423,11.7196,12.0991,0.3795
92.124163,24.488275,16.2216,17.3084,1.0868
92.202722,24.48833,15.8034,16.5866,0.7832
92.059248,24.487068,15.8073,17.0012,1.1939
92.253791,24.488101,16.9536,18.3441,1.3905
92.103013,24.486835,15.9348,16.4933,0.5585
92.049835,24.486286,14.7954,15.2826,0.4872
92.238521,24.487439,17.7893,18.5461,0.7568
92.073015,24.486375,11.0487,11.3369,0.2882
92.072985,24.486375,11.0492,11.3369,0.2877
92.244236,24.486693,15.4826,16.0925,0.6099
92.010166,24.4857,16.3751,17.1727,0.7976
92.503672,24.487363,16.2013,17.0216,0.8203
92.527872,24.487408,17.3609,18.3676,1.0067
92.500654,24.486997,16.7899,17.9379,1.148
92.500651,24.486997,16.7899,17.9379,1.148
92.450229,24.486729,16.3863,17.401,1.0147
92.311683,24.486176,16.21,17.1674,0.9574
92.211853,24.485935,16.679,17.4679,0.7889
92.189899,24.484942,13.5469,14.1881,0.6412
92.189923,24.484942,13.5469,14.1881,0.6412
92.045059,24.484887,16.2531,16.9619,0.7088
92.440026,24.485942,16.3006,17.388,1.0874
92.400463,24.485053,12.8681,13.322,0.4539
92.031495,24.483617,14.8742,15.3432,0.469
92.336809,24.4856,16.9948,17.7969,0.8021
92.5302,24.485666,16.3084,17.1972,0.8888
92.116383,24.484291,17.1758,18.1956,1.0198
92.350823,24.485011,16.3748,17.3973,1.0225
92.12219,24.483392,14.4045,15.1839,0.7794
92.062637,24.481855,15.6789,16.4497,0.7708
92.065346,24.482244,12.7226,14.1464,1.4238
92.359247,24.483963,14.5864,15.3847,0.7983
92.332228,24.484206,15.7824,16.4973,0.7149
